genome,D300693,D300694,D300695,D300696,D300697,D300698,D300699,D300700,D300701,D300702,D300703,D300704,D300705,D300706,D300707,D300708,D300709,D300710,D300711,D300712,D300713,D300714,D300715,D300716,D300717,D300718,D300719,D300720,D300721,D300722,D300723,D300724,D300725,D300726,D300727,D300728,D300729,D300730,D300731,D300732,D300733,D300734,D300735,D300736,D300737,D300738,D300739,D300740,D300741,D300742,D300743,D300744,D300745,D300746,D300747,D300748,D300749,D300750,D300751,D300752,D300753,D300754,D300755,D300756,D300757,D300758,D300759,D300760,D300761,D300762,D300763,D300764,D300765,D300766,D300767
21:bin_000107,2.341,1.176,6.582,5.846,0,0,0,0,0,0,0.582,0,3.234,1.849,0,2.021,2.422,6.787,1.512,1.733,0,1.09,0,0,0,0,1.733,0,1.912,0,4.61,0,0,0.588,0.736,0,0.545,1.228,1.229,0,1.447,0,0,0,0,0,0,0,0,0.521,0,0,0,0,1.182,6.594,0,0,1.661,1.613,0.53,0,0.759,1.606,0.519,1.027,1.336,2.767,0.605,0.904,0,1.389,0.7,2.9,0
21:bin_000125,0.597,0,0,1.08,0,0,0,1.103,0,0,0,0,0,0,0,0.572,14.4,0,0,0,0,0,0,0,0,0,3.721,0,0,0,0,2.84,0,0.908,0.518,0,0,15.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733,1.156,0.585,2.935,1.199,51.788,0,0,7.262,0,3.616,0,4.854,6.868,1.544,1.821,1.87,3.28,0.883,3.882,0
21:bin_000160,0,0,1.066,0,0,0,0,0,0,0,0,0,0,0.562,0,0.753,0,8.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751,0,0,0,0,0
21:bin_000224,0,1.028,0,1.051,0,0,0,0,0,0,0,0,0,0,0,1.831,0,0,0.803,2.365,0,0.831,0,0,0,0,0.605,0,0,0,0,0,0.749,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605,0,0,0,0,0,0,0.855,1.596,0,0.52,0.667,0,1.767,0,0,0
21-TM1:bin_000011,0,0,0,0,0,0,0,1.057,0,0,2.045,0,4.736,2.191,0,0,8.02,4.067,0,0,0,0,0,0,0,0,0.762,0,1.945,0,2.45,0,0,1.675,2.225,0,2.4,3.139,1.455,0,3.171,0,0,0,0,0,0,0,0,0,0,1.398,0,0.638,1.566,1.532,0,2.41,4.514,3.399,0.537,0,2.903,2.236,1.725,4.579,5.214,1.504,1.586,2.437,1.839,0,4.164,5.47,0
21-TM1:bin_000014,8.019,5.862,3.315,3.169,4.442,0,0,0.783,0,0.536,2.517,0,3.205,0.544,0,21.104,0.902,1.608,5.077,12.08,4.332,8.386,0,0,0,1.009,4.161,0,2.021,0,1.88,0,0,1.666,0.763,0,1.826,2.957,4.973,0,2.838,0,0,0,0,0,0,0,0,0,0,0,0,0,2.295,0,0.565,1.312,1.051,1.022,1.658,1.915,2.562,2.986,1.737,0,0,0,7.293,1.341,1.553,0,0,0.721,0
21-TM1:bin_000060,6.394,4.24,0,0,0,0,0,1.308,0,0,0,0,0,0,0,4.724,32.405,0,3.216,0,0,4.566,0,0,0,1.542,3.161,0,0,0,0,0,0,0.876,0,0,0.659,5.123,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.473,0,1.152,0.626,1.324,0,1.54,0.704,5.258,1.32,0.742,8.425,0,10.997,0.635,3.197,0.979,10.657,0,3.637,0
21-TM1:bin_000073,9.449,7.027,10.762,12.604,0,0,0,0,0,0,0,0,6.332,4.572,0,5.388,3.771,13.712,7.969,10.751,1.979,1.203,0,0,0,0,1.659,0,1.653,0,1.745,0,0,0.652,0.542,0,6.185,2.175,2.872,0,3.294,0,0,0,0,0,0,0,0,0,0,0,0,0,5.934,1.633,1.088,0,0.998,1.068,1.229,0,3.816,1.954,0.659,7.151,0.6,1.638,0,0.911,0,0,0.956,2.599,0
21-TM3:bin_000002,4.541,1.179,0,0,0,0,0,10.855,0,1.532,0,0,0.889,51.552,0,4.103,0,0,1.258,0,0,6.076,0,0,0,0,15.028,1.006,39.95,3.507,22.984,2.32,0,0,0,0,6.392,3.091,12.126,0,0,0,0,0,0,0,0,1.154,0,1.487,0,0,13.109,7.194,2.192,1.161,0,3.936,1.169,2.99,0.843,0.646,1.735,2.305,4.242,2.315,1.384,1.612,2.372,1.547,1.727,11.587,0,6.827,0
21-TM3:bin_000011,0,0,0,0,0,0,0,0,0,0.729,0,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.494,0,2.06,3.171,0.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
