genome,D300418,D300419,D300420,D300421,D300422,D300423,D300424,D300425,D300426,D300427,D300428,D300429,D300430,D300431,D300432,D300433,D300434,D300435,D300436,D300437,D300438,D300439,D300440,D300441,D300442,D300443,D300444,D300445,D300446,D300447,D300448,D300449,D300450,D300451,D300452,D300453,D300454,D300455,D300456,D300457,D300458,D300459,D300460,D300461,D300462,D300463,D300464,D300465,D300466,D300467,D300468,D300469,D300470,D300471,D300472,D300473,D300474,D300475,D300476,D300477,D300478,D300479,D300480,D300481,D300482,D300483,D300484,D300485,D300486,D300487,D300488,D300489,D300490,D300491,D300492,D300493,D300494,D300495,D300496,D300497,D300498,D300499,D300500,D300501,D300502,D300503,D300504,D300505,D300506,D300507,D300508,D300509,D300510,D300511,D300512,D300513,D300514,D300515,D300516,D300517,D300518,D300519,D300520,D300521,D300522,D300523,D300524,D300525,D300526,D300527,D300528,D300529,D300530,D300531
GPB:bin_000029,2.069,7.243,0,0,5.826,0,8.375,8.287,1.455,0.925,0,0,0,0,0,0,0,0,0,10.32,0,2.516,1.359,3.379,0,0,0,0,14.085,0,0,7.289,5.198,0,0,1.642,0,0,3.16,0,0,0,0,0,0,0,0,1.442,0,8.815,0,0,0,0,0,1.489,0,13.859,0,0,0,0,0,19.759,0,0,0,6.747,9.525,0,0,0,2.714,0,1.367,0,3.31,0,1.389,0,0,0,0,0,0,0,1.793,0,3.399,0,0,0,0,0,0,0,0,0,0,0,0,7.046,0,0,0,0,0,0,0,0,0,0,0,0
GPB:bin_000031,21.896,70.288,0,0,8.14,0,0,2.487,0,1.752,0,12.044,0,21.367,0,0,0,0,0,7.677,78.343,5.905,0,0,0,3.284,0,0,36.353,0,72.479,91.892,0,0,4.22,0,0,0,0,0,8.145,0,0,0,0,42.844,0,0,0,3.485,0,0,0,25.152,48.462,17.695,0,6.243,2.99,0,40.207,0,0,0,0,0,31.768,0,3.296,0,25.186,6.272,48.573,24.536,11.298,0,0,6.874,42.552,0,0,0,27.758,0,117.074,0,0,0,14.267,0,20.63,0,0,53.488,96.122,0,4.136,0,0,0,34.242,8.665,0,14.994,65.931,0,0,0,64.04,4.852,2.067,0,0,0
GPB:bin_000032,13.424,0,0,0,0,0,0,0,0,10.487,0,0,0,0,0,0,0,0,0,0,0,31.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.663,0,0,0,0,0,0,0,0,35.628,0,0,0,0,0,16.651,0,115.201,0,0,13.147,0,0,0,0,0,14.262,0,28.418,0,0,0,7.944,0,0,0,0,46.259,12.423,0,0,0,0,0,0,0,19.04,0,15.144,0,0,0,0,0,23.129,0,0,0,0,0,0,17.695,0,0,0,0,0,0,0,4.147,10.798,0,0,0
GPB:bin_000033,8.48,23.972,0,3.788,4.782,7.187,6.307,4.591,2.881,2.92,6.296,5.623,0,0,6.236,7.21,3.285,6.064,6.248,3.451,9.089,9.243,7.682,6.071,12.422,1.138,5.582,4.248,7.53,1.68,4.066,5.263,4.543,13.552,0,2.278,4.81,3.071,3.307,5.293,4.443,5.608,2.581,3.02,3.951,0,3.126,3.796,4.353,5.43,4.931,2.867,7.204,0,11.48,6.432,2.965,9.048,5.68,18.699,10.979,1.911,2.492,3.429,6.291,4.424,9.082,5.281,8.241,3.204,5.02,7.691,8.068,6.322,4.219,1.275,8.828,2.861,5.045,2.419,2.866,2.518,10.783,6.106,10.819,5.845,6.954,0.778,11.118,2.472,1.96,3.67,5.059,3.014,3.13,2.982,1.62,1.069,12.443,5.054,15.116,5.456,2.681,2.47,4.776,8.309,1.477,4.365,5.736,1.897,2.472,1.455,0,0
GPB:bin_000034,8.709,39.117,25.381,20.899,21.468,61.386,8.68,12.219,36.065,6.261,37.577,47.24,28.823,6.012,0,32.061,68.737,71.97,38.905,19.241,46.971,32.072,20.063,120.834,29.96,11.066,0,48.576,55.822,10.434,48.445,69.378,13.37,21.794,31.929,22.614,19.304,48.627,17.474,8.133,16.582,24.394,42.378,35.46,34.328,0,29.682,45.944,14.964,18.21,21.755,56.702,44.884,0,13.672,40.553,23.104,35.449,10.472,28.941,28.248,40.259,26.652,15.851,57.176,13.59,5.46,10.07,17.064,26.83,9.135,20.507,14.269,15.087,99.2,26.599,74.031,10.769,15.001,27.061,18.414,24.391,27.161,0,30.385,36.518,15.226,13.703,40.756,28.089,11.4,32.014,12.422,19.086,17.079,36.185,17.148,19.064,51.255,10.378,28.024,24.212,48.499,17.054,8.117,38.385,29.007,11.338,10.402,17.23,19.297,11.706,0,0
GPB:bin_000035,3.794,0,0,0,0,0,0,0,0,1.606,0,3.084,0,0,0,0,0,0,0,0,6.014,2.609,0,0,0,4.195,0,0,0,0,3.141,0,0,0,0,0,0,0,0,0,2.049,0,0,0,0,0,0,0,0,2.517,0,0,0,4.735,15.626,5.186,2.436,4.437,0,0,8.964,0,0,0,0,0,12.783,0,16.368,0,0,3.266,5.524,2.386,0,0,0,0,3.306,2.471,0,1.707,14.8,0,3.706,1.704,1.635,0,8.71,0,2.169,0,0,2.049,0,0,0,0,0,0,12.79,5.679,0,0,6.93,0,0,0,0,4.952,2.903,0,0,0
GPB:bin_000038,0,0,0,0,4.548,0,11.702,7.67,26.603,0,0,0,0,0,0,0,0,9.636,0,11.274,0,0,30.834,9.042,0,0,0,0,0,9.478,0,0,2.306,0,0,8.228,0,0,11.835,0,0,0,0,16.714,0,0,0,15.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.919,0,0,0,6.608,0,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.057,0,0,0,0,0,0,0,0
GPB:bin_000039,0,1.245,6.86,0,0,0.588,0,0,0,0,0,0,2.315,0,2.201,0,0,2.013,0,0,0,0,0,0,0,0,1.203,0,2.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.853,0.868,0,0,0,0,0,0,0,0,0,1.062,0,0,0,0,0,0,0,0,4.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.123,0,0,0
GPB:bin_000040,0,0,0,0,0,0,0,0,0,7.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.246,0,0,0,0,0,0,0,0,62.44,0,0,0,0,0,0,0,0,0,0,1.286,0,0,0,0,0,2.812,0,0,0,0,0,79.882,0,0,0,0,0,3.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPB:bin_000041,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.135,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPB:bin_000042,0.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0.857,0,0,0,0,0.808,0,0,0,3.715,0,0,0,0,0,4.811,0,0,0,0,0,0,0,0,0,0,0,0,0.919,0,1.172,0,0,0,0,0,0,0,0,0,0,0,0,3.378,0,0,0,0,0,0,0,0,0.759,0,0,0,0,0,0,0,0,0,0
GPB:bin_000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.295,0,0,0,0,0,8.016,0,0,0,0,0,5.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPB:bin_000045,13.011,0,0,0,0,0,0,0,0,11.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.651,0,0,0,0,0,0,0,0,22.396,0,0,0,0,0,0,0,0,0,0,2.499,0,0,0,0,0,5.824,0,0,0,0,0,6.073,0,0,0,0,3.623,13.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPB:bin_000049,0,0,0,0,8.969,0,0,23.265,0,0,4.916,0,0,0,0,0,0,0,0,2.241,0,0,0,0,0,0,0,0,0,0,0,0,3.703,0,0,0,0,0,0,0,4.734,0,0,2.129,0,0,0,0,2.409,0,0,0,0,0,0,0,0,0,0,0,11.142,0,10.065,0,0,6.522,25.484,2.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.219,3.441,0,0,0,0,0,0,16.162,0,0,0,0,0,0,0,0,0,0,0,1.955,0,0
GPB:bin_000051,0,0,0,0,0,2.334,1.129,0.817,0,0,0,0,0,0,0,0,0,1.643,0,0,0,0,0.637,1.873,0,0,0,0,0,0,0,0,0,1.146,0,0,0,0,0.758,1.561,0,2.693,0,0.698,0,0,0,0,0,0,0,0,0,0,5.301,5.07,0,1.252,2.072,0,0,0,0,0,0,0,0,0.862,1.216,1.465,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.194,0,0,0,1.413,0.693,0,0,0,0,3.722,0,0,1.765,0,0,6.198,0,0,0,0,1.171,0,0,0,0
GPB:bin_000053,7.201,54.996,59.061,60.614,0,0,0,0,0,2.134,33.047,38.272,0,32.456,0,39.5,11.676,0,24.055,0,12.642,11.969,0,0,21.784,12.674,0,24.569,94.689,0,7.06,89.4,0,141.399,62.926,0,57.695,38.824,0,0,10.075,5.726,22.462,0,3.338,154.879,3.137,0,35.592,3.523,327.003,41.725,32.472,18.055,3.772,59.445,15.729,17.795,0,0,7.845,28.56,3.865,0,0,60.52,5.588,0,17.25,4.249,5.509,17.721,34.707,12.613,44.018,38.887,0,3.371,9.03,2.472,303.881,15.338,4.009,0,9.371,5.429,5.989,7.922,32.41,70.136,9.212,52.76,20.549,26.789,21.9,26.626,2.42,2.787,82.477,5.265,5.227,36.397,17.59,23.749,9.265,0,23.534,390.985,22.028,13.867,1.829,4.302,0,0
GPB:bin_000054,0,0,0,150.121,37.624,0,12.859,59.806,68.861,0,0,67.864,0,0,14.474,0,0,70.369,0,29.497,67.012,0,70.465,14.723,0,25.59,0,0,0,48.537,27.713,0,38.964,119.569,0,34.621,37.634,0,53.373,10.75,9.85,64.972,0,22.167,0,0,47.876,25.879,48.911,0,80.001,5.635,0,12.908,50.678,0,26.953,0,35.682,0,13.053,0,54.652,37.435,14.736,85.085,9.393,48.984,0,129.378,17.14,53.842,0,11.25,0,7.77,20.888,45.394,9.419,46.524,59.521,14.346,19.107,18.506,38.828,18.682,0,0,0,0,17.146,19.078,60.513,7.695,12.847,0,16.413,50.758,10.131,7.942,24.077,0,8.842,17.144,7.452,38.603,6.035,45.441,11.441,0,0,35.27,0,0
