genome,D300418,D300419,D300420,D300421,D300422,D300423,D300424,D300425,D300426,D300427,D300428,D300429,D300430,D300431,D300432,D300433,D300434,D300435,D300436,D300437,D300438,D300439,D300440,D300441,D300442,D300443,D300444,D300445,D300446,D300447,D300448,D300449,D300450,D300451,D300452,D300453,D300454,D300455,D300456,D300457,D300458,D300459,D300460,D300461,D300462,D300463,D300464,D300465,D300466,D300467,D300468,D300469,D300470,D300471,D300472,D300473,D300474,D300475,D300476,D300477,D300478,D300479,D300480,D300481,D300482,D300483,D300484,D300485,D300486,D300487,D300488,D300489,D300490,D300491,D300492,D300493,D300494,D300495,D300496,D300497,D300498,D300499,D300500,D300501,D300502,D300503,D300504,D300505,D300506,D300507,D300508,D300509,D300510,D300511,D300512,D300513,D300514,D300515,D300516,D300517,D300518,D300519,D300520,D300521,D300522,D300523,D300524,D300525,D300526,D300527,D300528,D300529,D300530,D300531
GPB:bin_000055,12.91,0,0,0,7.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.792,0,0,0,0,0,21.547,0,0,0,0,0,0,0,0,6.065,0,0,0,0,0,0,0,0,0,0,2.574,0,0,0,0,0,0,0,2.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPB:bin_000056,3.297,0,0,0,0,0,0,0,0,8.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.351,0,0,0,0,0,7.023,0,0,10.495,0,0,0,0,0,0,0,0,0,0,21.649,0,0,0,0,0,32.817,0,0,0,0,0,5.865,0,0,0,0,20.019,5.191,19.178,0,9.358,0,0,0,3.505,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPB:bin_000057,0,0,0,0,18.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.894,0,0,0,0,0,0,0,0,0,10.681,0,0,0,0,0,8.168,0,0,0,0,0,0,0,0,0,0,0,12.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.399,0,0,0,0,0,0,0,0
GPB:bin_000058,1.131,0,0,0,4.342,0,0,0,0.919,0,0,0,0,0,0,0,0,0,0,0,0,2.524,0,0,0,0,0,0,0,0,0,0,2.037,0,0,0,0,0,0,0,0,0,0,0,0,0,8.766,0,0,0,0,0,0,0,0,0,0,0,0,0,2.488,0,0,0,1.583,0,2.815,0,0,0,0,0,2.067,0,0,0,0,0,1.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPB:bin_000059,14.283,0,12.786,28.517,0,0,0,0,0,12.729,9.831,29.455,4.732,22.062,0,13.169,38.649,0,46.743,0,36.126,69.169,0,0,14.298,16.789,0,46.123,0,0,19.541,4.531,0,28.357,9.962,0,19.169,30.076,0,0,4.561,7.956,35.089,0,44.61,0,23.351,0,23.476,71.061,24.375,60.07,10.896,19.665,12.535,31.264,31.125,55.816,10.47,26.763,7.904,11.42,37.342,0,0,17.471,16.339,0,6.843,11.097,81.158,18.584,18.012,16.149,0,24.047,0,10.124,14.253,21.469,29.237,13.548,6.739,0,9.405,13.014,40.104,7.951,18.109,22.697,9.866,53.372,26.575,10.538,15.891,19.597,15.578,26.225,42.14,19.088,21.331,39.575,15.556,20.435,0,0,24.847,11.021,36.814,16.269,3.901,19.337,0,0
GPB:bin_000060,8.934,0,0,0,2.919,0,0,0,4.932,8.364,0,0,0,0,0,0,0,0,0,2.832,0,7.207,2.868,0,0,4.639,0,0,0,3.525,0,0,0,0,0,4.253,0,0,0,0,2.802,0,0,3.996,0,0,5.063,7.87,0,7.921,0,0,0,0,0,0,4.578,8.334,0,0,2.561,0,0,0,0,0,5.138,5.963,0,0,0,0,5.256,0,0,0,0,9.632,8.364,6.57,0,10.948,0,0,0,12.752,4.825,0,0,0,0,0,0,0,3.309,0,1.933,4.042,0,0,0,5.238,0,4.287,0,3.714,0,0,5.401,6.332,0,0,0,0
GPB:bin_000061,3.094,0,0,0,0,0,0,0,0,4.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.351,0,0,2.587,0,0,0,0,0,2.348,0,0,5.698,0,0,0,0,0,0,0,0,0,0,1.446,0,1.736,0,0,0,2.534,0,0,0,0,0,0,0,0,1.061,0,1.87,2.464,2.329,0,1.641,0,0,0,1.997,0,1.23,0,0,0,0,0,0,1.267,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0
GPB:bin_000065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.16,0,0,0,0,0,5.144,0,0,0,0,0,0,0,0,0,7.439,0,0,0,16.149,0,6.472,0,0,0,8.585,0,0,0,0,0,0,0,0,0,0,7.117,0,4.282,0,6.911,0,0,0,3.928,0,0,0,0,0,0,0,0,8.482,0,2.4,3.552,0,1.048,0,0,0,3.213,0,0,0,0,6.838,0,0,0,0,0
GPB:bin_000067,90.425,0,0,4.649,0,0,0,0,0,12.525,0,0,0,0,0,0,0,0,0,0,0,50.87,0,0,0,0,0,0,0,0,0,0,0,29.985,0,0,19.024,0,0,0,20.505,8.435,0,0,0,0,17.606,0,41.924,14.79,0,0,0,0,0,42.637,3.285,58.56,26.858,0,19.449,2.378,102.035,0,0,32.855,7.156,0,10.006,4.013,0,0,24.529,0,0,0,0,8.36,43.514,12.69,3.682,9.54,0,0,0,27.488,36.511,0,53.137,0,0,9.885,15.118,0,7.74,0,0,14.922,76.76,25.23,0,112.266,8.426,3.056,0,0,0,3.402,0,43.142,0,39.597,0,0
GPB:bin_000069,0,0,8.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPB:bin_000070,34.927,0,0,117.466,0,0,0,0,0,15.054,5.209,0,0,0,0,0,0,0,0,0,0,31.903,0,0,0,0,0,0,0,0,0,0,0,81.576,0,0,96.821,111.318,0,0,58.479,0,108.401,0,0,0,174.067,0,97.409,44.108,116.801,139.861,0,0,0,20.064,0,13.131,0,0,57.705,0,23.241,0,0,60.083,12.323,0,0,65.052,0,0,74.341,0,0,24.703,0,6.105,87.49,101.151,39.071,179.113,0,0,0,9.215,3.435,6.99,0,19.073,0,169.237,81.723,0,115.219,72.598,0,137.678,120.533,47.193,0,0,51.882,0,0,0,22.059,60.554,0,0,57.302,115.167,0,0
GPB:bin_000071,15.737,0,0,0,0,0,0,0,0,2.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.467,0,0,0,0,0,0,0,0,6.413,0,0,0,0,0,0,0,0,0,0,13.281,0,0,0,0,0,5.187,0,0,0,0,0,6.856,0,0,0,0,5.223,5.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPB:bin_000073,54.338,0,0,0,0,0,0,0,0,66.447,0,0,0,0,0,0,0,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.753,0,0,0,0,0,0,0,0,0.923,0,0,0,0,0,0,0,0,0,0,16.956,0,0,0,0,0,7.562,0,0,0,0,0,0,0,0,0,0,107.4,73.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
