genome,D300242,D300243,D300244,D300245,D300246,D300247,D300248,D300249,D300250,D300251,D300252,D300253,D300254,D300255,D300256,D300257,D300258,D300259,D300260,D300261,D300262,D300263,D300264,D300265
JPB:bin_000379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,0
JPB:bin_000380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000383,0,1.175,0,2.997,0,0,1.973,0.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.381,0
JPB:bin_000384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.447,0
JPB:bin_000387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.119,0
JPB:bin_000390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742,0
JPB:bin_000392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575,0,0,0,0
JPB:bin_000394,0,0,0,0,0,1.098,1.074,1.155,0,0,0.954,0,0,0,0,0.874,0,0,0,0,0,0,4.005,0
JPB:bin_000395,1.014,2.41,4.162,2.129,0,0.617,2.661,2.508,5.33,2.664,1.595,0,0,1.937,0,0,6.822,0,0,0.846,2.909,14.495,7.847,0
JPB:bin_000396,0,0,0,0,0,0,0,0,0,0,0,0,0,2.647,0,0,0,0,0,0,0,4.768,0,0
JPB:bin_000398,0,1.319,0,0,0,4.779,0,0,0,0,2.416,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000403,0,2.147,0,1.082,0,1.004,7.795,9.317,0,0,2.816,0,4.256,1.355,0,1.538,0,0,0,0,10.913,2.18,23.431,0
JPB:bin_000404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000406,0,0,0,0,1.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000410,1.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16
JPB:bin_000411,0,0,0,0,0,0.753,0,0.877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911,0
JPB:bin_000412,0,0,0,0,0,0,0,1.084,0,0,0,0,0,0,0,0,0,0,0,0,1.131,0,1.577,0
JPB:bin_000413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000414,0,0,0,0,14.719,3.492,0,0,1.065,1.906,0,4.543,0,0,3.998,0,4.383,7.908,0,46.121,0,0,0,2.566
JPB:bin_000416,1.026,0,0.773,1.153,0.811,2.124,0,6.823,0,0.925,0,0,0.767,0.603,2.022,2.552,1.768,1.142,0,2.054,1.643,0.7,0,0
JPB:bin_000417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.274,0,0,0,0,0,0,0,0,0
JPB:bin_000421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000422,1.783,1.826,4.625,0,1.674,1.914,1.721,2.054,1.169,1.583,1.761,1.1,0.875,1.224,2.022,1.348,1.268,0.834,0,1.103,1.672,1.011,0,1.989
JPB:bin_000423,0,0,0,1.659,0,0,1.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.976,0
JPB:bin_000424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000425,3.441,0.968,0.862,1.744,4.414,0,1.098,2.828,2.451,5.338,1.849,1.586,0,0.97,6.736,1.586,2.451,1.933,1.207,4.588,1.666,1.589,0.819,5.247
JPB:bin_000426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916,0,2.59,0
JPB:bin_000430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000432,9.28,12.685,13.445,11.296,20.201,7.915,7.658,14.415,13.836,16.266,9.891,21.877,6.539,7.025,12.364,6.14,10.581,15.282,21.824,12.096,14.254,9.294,2.871,15.05
JPB:bin_000433,0.971,0.913,1.376,0,1.325,1.093,0,0,0.88,0.999,0,0,0,0,0.914,0,0,0,0,0,0,0,0,1.48
JPB:bin_000434,0,0.875,0,0,0,1.001,0,0.969,0,0,2.023,0,0,0,1.453,1.419,0,0,0,0,0,0,0,0
JPB:bin_000435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000437,0,0,0,0,0,0,0,0,0,3.377,0,0,0,0,0,0,0,0,0.781,0,0,0,0,0
JPB:bin_000438,0,0,0,1.237,0,0,1.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.349,0
JPB:bin_000439,0.947,0,0,0,0,1.601,0,0,0,0,1.107,0,0,0,1.746,0,0,0,0,0,0,0,0,0
JPB:bin_000440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.329,0
JPB:bin_000441,0,0,0.772,1.511,0,0.646,1.877,0,0,0.688,1.034,0,0.671,0,0.9,0,0,0,0,0,0,0.607,0,0.612
JPB:bin_000442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000445,0,0,0,0,0,0,0.771,2.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.361,0
JPB:bin_000448,4.333,0,1.922,0,6.475,0,0,0,0,2.28,0,0,0,0,0,0,0,0,1.216,3.711,0,0,0,4.96
JPB:bin_000449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857,0
JPB:bin_000450,0,0,0,1.117,0,1.139,0,0,0,0,0.902,0,0,0,0,0,0,0,0,0,0,0,1.672,0
JPB:bin_000452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000453,0,1.595,0.975,3.932,0,2.523,3.968,4.341,0.835,0,2.887,0,1.743,1.283,2.948,2.042,1.666,0,0,2.231,5.274,2.248,1.272,0
JPB:bin_000454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000459,0,1.94,0,0.838,0,0,1.629,1.87,0,0,1.592,0,0.831,0,0,2.828,0,0,0,0,2.948,0.801,2.691,0
JPB:bin_000460,13.692,10.923,20.373,5.533,20.054,11.115,13.287,14.333,17.951,18.149,9.147,13.132,5.799,8.983,17.412,9.958,17.401,16.017,23.722,13.457,23.617,7.724,3.454,12.791
JPB:bin_000461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000463,0.82,2.327,1.498,1.317,0,0.777,1.653,1.677,0.725,1.027,0,0,0.872,0.871,0,0.843,0,0,0,0.748,1.18,0,0,0
JPB:bin_000464,0,0,0,4.733,0,0,9.682,2.537,0,0,0,0,3.94,2.159,0,7.3,0,0,0,0,10.794,2.8,4.674,0
JPB:bin_000465,0,0,0,0,0,0,0,0.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000467,0,0,0,0,0,0,0,0.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.146,0
JPB:bin_000468,0,0,0,0,0,2.019,0,0,0,0,0.742,0,0,0,0,0.625,0,0,0,0,0,0,0,0
JPB:bin_000469,1.963,1.24,6.535,0,0,14.132,2.41,7.384,0,1.854,0,1.264,2.299,0,2.159,6.721,5.122,0,0,1.301,11.906,0,12.839,5.222
JPB:bin_000470,0,0.94,2.661,0.799,0,1.828,1.987,0,0.91,0.962,2.022,0,1.105,0,1.423,1.169,3.874,0,0,0,1.769,2.059,2.17,0
JPB:bin_000471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000474,0,0.631,1.806,0,1.009,0,1.223,1.158,0.837,0,1.038,0.724,0,0.901,1.245,1.009,0,0.642,0,0,0,0,0,0
JPB:bin_000475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000479,0,0,0,0,0.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000482,0,0,0,0,0,0,2.155,0,1.202,0,0,0,0,2.671,2.675,0,0,0,0,0,0,0,0,0
JPB:bin_000483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
