genome,D300769,D300820,D300821,D300822,D300823,D300824,D300825,D300826,D300827,D300828,D300829,D300830,D300831,D300832,D300833,D300834,D300835,D300836,D300837,D300838,D300839,D300840,D300841,D300842,D300843,D300844,D300845,D300846,D300847,D300848,D300849,D300850,D300851,D300852,D300853,D300854,D300855,D300856,D300857,D300858,D300859,D300860,D300861,D300862,D300863,D300864,D300865,D300866,D300867,D300868,D300869,D300870,D300871,D300872,D300873,D300874,D300875,D300876,D300877,D300878,D300879,D300880,D300881,D300882,D300883,D300884,D300885,D300886,D300887,D300888,D300889,D300890,D300891,D300892,D300893,D300894,D300895,D300896,D300897,D300898,D300899,D300900,D300901,D300902,D300903,D300904,D300905,D300906,D300907,D300908,D300909,D300910,D300911,D300912,D300913,D300914,D300915,D300916,D300917,D300918,D300919,D300920
D300859:bin_000023,0,6.058,0,0,6.826,13.872,1.231,0,0,0,0,1.657,2.346,0,4.831,12.85,0,7.64,0,0,0,0,0,0,0,0,9.152,0,2.066,0,0,2.68,0,0,0,0,0,0,0,2.353,27.918,2.35,0,0,1.367,0,0,2.099,0,0,0,0,0.992,7.407,0,2.406,4.998,2.752,0,0,0,0,0.962,1.18,3.838,2.551,1.526,49.796,0.579,0,0,0,0,0,5.295,0,0,0,12.969,0,0,0,0,0,0,0,0,0,0,0,5.565,0,0,1.077,11.689,0,30.826,0,2.731,0,1.223,0
D300861:bin_000011,0,0,0,0,0,0,0,0,0,0,0,0,0.834,0,0,0,0,0,0,0,0,0,0,0,0,0,133.244,7.647,8.473,3.895,0,1.231,0,0,0,0,0,0,0,22.806,2.679,7.641,33.366,0,0,4.113,3.882,5.78,0,0,1.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.471,0,0,3.975,0,0,0,0,0,0,0,0,0,0,0,0,8.855,2.419,3.293,21.469,7.844,0,36.968,2.173,8.49,1.274,1.607,2.268
D300865:bin_000028,0,0,0.853,0,2.448,0,9.194,0,0,0,0,1.833,7.657,1.784,3.81,0,0,1.971,0,0,0,0,0.979,0,0,0,2.257,0,6.425,5.104,0,5.562,0,0,0,0,0,0,0,1.268,0,0,5.411,0,0,4.053,11.171,12.875,0,3.602,0,0,0,0,9.248,9.35,0,0,0,0,0,0,0,0,3.244,1.796,0,1.533,0,0,0,0,0,0,5.782,0,0,0.797,5.02,0,0,0,0,0,0,0,0,0,0,2.546,0,5.105,3.65,0,5.263,4.182,0,0,5.153,8.088,2.322,3.641
D300867:bin_000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794,0.821
D300871:bin_000004,0,1.072,0,0,0,5.628,0,0,0,0,0,6.891,0,0,0,12.63,0,0,0,0,0,0,35.47,0,0,0,0,5.531,0,16.809,0,0,0,0,0,0,0,0,0,1.59,0,4.326,0.65,11.441,0.814,0,0,0,0,0,0,0,36.162,2.328,4.816,1.868,6.744,0,0,0,5.275,0,28.219,5.831,0,0,0,56.855,0,0,0,0,0,0,0,0,0,0,6.383,0,0,0,0,0,0,0,0,0,0,0,2.983,0,0,1.409,0,30.865,3.835,0,0,0,0,0
D300871:bin_000005,0,17.536,16.693,15.331,4.317,0.788,0.661,0,0,2.051,0,4.961,0,0.656,0,6.24,0,0,0,0,0,0,4.095,0,0,0,0,0.635,0,6.957,0,0.749,0,0,0,0,0,0,0.623,0,4.402,5.333,0.671,0,0,9.701,2.19,0.862,0,0,0.654,0,15.386,0,3.312,2.804,3.496,1.236,0,0,0.723,0,12.384,0,0,0,0,19.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.141,1.602,0,11.732,11.304,0,36.964,0,0
D300871:bin_000006,0,6.662,31.078,13.794,6.994,14.219,2.849,0,2.53,4.863,0,0,0,2.189,1.444,4.928,0,0,0,0,0,8.807,10.046,0,0,0,0,0,0,7.095,0,0,0,0,0,0,0,0,0,2.37,2.477,0,0,0,0,1.429,0,0,0,0,0,0,17.381,13.819,4.998,1.692,0,0.719,0,1.123,6.903,0,7.541,3.911,0,0,0,1.951,0,0,0,0,0,0,3.85,2.567,9.685,3.858,1.647,0,0,0,0,0,0,0,0,0,0,0,0,5.719,3.308,2.49,0.877,0,0,0,0,0,0,0
D300872:bin_000003,0,15.632,5.945,8.935,21.67,2.628,1.568,0,4.03,0,0,6.328,0,0,1.39,4.968,0,6.478,0,0,0,0,11.007,0,0,0,0,5.294,4.458,21.968,0,0.77,0,0,0,0,0,0,0,1.254,2.44,0,12.902,5.406,0,3.918,3.752,0,1.811,1.617,1.365,0,3.412,69.856,2.86,2.342,0.623,1.727,0,0,0,0,5.13,1.399,0,2.1,0.85,27.573,0,0,0,0,0,0,0,0,0,1.844,1.265,0,0,0,0,0,0,0,0,0,0,7.592,0.71,1.266,0,0,6.644,53.264,27.566,9.661,4.191,4.668,1.062,0
D300872:bin_000039,0,18.694,3.795,5.303,7.011,4.342,11.406,0,2.454,1.149,0,5.698,1.952,2.412,2.159,2.525,0,1.531,0,0,0,0,5.547,0,0,0,16.241,18.069,13.989,9.131,0,6.459,0,0,0,0,0,0,0,3.47,7.251,3.246,1.701,11.287,3.096,4.982,4.117,1.855,0,0.98,2.68,0,1.673,7.043,7.873,5.687,1.738,0.865,0,0,3.834,0,3.993,0.982,1.472,2.625,2.714,31.62,0,0,0,0,0,0,2.494,0,0,15.15,8.225,0,0,0,0,0,0,0,0,0,0,6.17,10.898,6.663,15.621,3.466,10.194,15.631,2.693,1.199,5.547,4.069,2.701,2.657
D300873:bin_000018,0,4.272,2.615,12.664,0,3.273,5.371,0,0,0,0,0,0,1.524,5.281,3.643,0,0.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738,14.449,20.497,1.621,0,0,0,0,0,5.068,0,0,16.57,0.659,0,3.738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
