genome,D300769,D300820,D300821,D300822,D300823,D300824,D300825,D300826,D300827,D300828,D300829,D300830,D300831,D300832,D300833,D300834,D300835,D300836,D300837,D300838,D300839,D300840,D300841,D300842,D300843,D300844,D300845,D300846,D300847,D300848,D300849,D300850,D300851,D300852,D300853,D300854,D300855,D300856,D300857,D300858,D300859,D300860,D300861,D300862,D300863,D300864,D300865,D300866,D300867,D300868,D300869,D300870,D300871,D300872,D300873,D300874,D300875,D300876,D300877,D300878,D300879,D300880,D300881,D300882,D300883,D300884,D300885,D300886,D300887,D300888,D300889,D300890,D300891,D300892,D300893,D300894,D300895,D300896,D300897,D300898,D300899,D300900,D300901,D300902,D300903,D300904,D300905,D300906,D300907,D300908,D300909,D300910,D300911,D300912,D300913,D300914,D300915,D300916,D300917,D300918,D300919,D300920
HPB:bin_000122,0,0,33.757,0,0,0,0,0,0,0.733,0,1.124,0,0,0,0,0,0,0,0,0,1.002,0,0,0,0,3.846,0,3.799,0,0,0,0,0,0,0.899,0,0,0,3.433,0,0,0,1.186,0,4.778,0,2.609,0.884,0,0,0,0,0,0,3.428,0,0,0,0,0,0,0,0,3.288,0,0,2.244,0,0,0,0,0,0,0,0,1.698,1.251,0.826,0,0,0,0,0,0,0,0,0,0,0,0,1.921,4.532,6.354,0,0,0,0,2.164,1.335,0,1.151
HPB:bin_000123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.941,33.845,136.896,31.61,0,18.699,0,0,0,0,0,0,0,93.209,91.947,103.908,32.887,30.385,70.875,106.912,62.455,39.639,32.261,4.012,21.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.473,74.771,0,0,0,0,0,0,0,0,1.303,1.327,44,47.824,129.346,126.476,53.071,69.293,175.282,58.019,0,4.446,33.916,6.97,28.915
HPB:bin_000124,0,28.609,7.302,13.418,9.367,2.745,11.147,0,5.011,0.839,0,9.148,3.69,3.54,3.799,1.875,0.822,10.143,0,0,0,1.596,2.864,0,0,0,15.165,8.666,8.758,9.447,0,7.292,0,0,0,0,0,0,0.646,10.791,2.519,3.151,5.249,5.25,9.188,17.312,7.24,8.377,4.075,12.419,4.935,0,5.897,2.965,11.232,7.627,3.452,0,0,0,2.492,0,0,0,15.317,6.075,10.013,21.386,1.876,0,0,0,0,0,2.732,0,0.906,15.912,4.776,0,0,0,0,0,0,0,0,0,0,6.398,9.087,10.809,25.684,2.149,16.707,28.638,10.27,12.794,6.432,19.566,3.256,10.824
HPB:bin_000125,0,4.963,2.703,3.834,0,10.47,4.373,0,3.08,0,0,3.429,2.923,1.777,0,5.785,0,3.454,0,0,0,0,4.545,0,0,0,0,0,0,4.214,0,0,0,0,0,0,0,0,0,0,1.589,0,0,2.571,0,2.464,1.773,0,0,0,0,0,3.615,4.304,11.145,5.26,5.573,0,0,0,3.766,0,1.541,2.201,3.423,0,1.817,43.445,1.146,0,0,0,0,0,4.342,0,0,7.501,1.726,0,0,0,0,0,0,0,0,0,0,2.29,2.918,4.025,2.207,0,1.957,11.514,1.611,4.022,1.131,3.017,0,0
HPB:bin_000126,0,8.147,18.819,3.577,1.328,4.521,1.085,0,0,0,0,0,1.911,0,0.676,3.655,0,0.765,0,0,0,0,5.566,0,0,0,1.571,0.829,3.561,1.24,0,0.698,0,0,0,0,0,0,0,0,0,1.203,1.269,2.856,0,4.664,2.098,5.351,0.733,0.84,1.03,0,7.363,3.826,0,3.292,1.607,2.853,0,0,3.091,0,0.866,0.884,0,0.946,0,11.607,4.178,0,0,0,0,0,0,0,0,3.534,2.748,0,0,0,0,0,0,0,0,0,0,0,0,1.956,3.847,11.809,2.163,8.968,0,0,1.691,2.322,0.814,2.95
HPB:bin_000127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.973,1.918,2.813,0,0,1.513,0,0,0,0,0,0,0,0,0,0,0,0,0,1.221,4.675,0,0,0,2.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.016,0,0,0,0,0,0,0,0,0,0,0,0,1.234,1.43,0,1.63,0,1.375,3.583,0,4.529,2.538,2.595
HPB:bin_000130,0,0,0,0,0,0,0,0,1.782,0.82,0,5.001,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,4.018,4.335,0,0,0,1.751,0,0,0,0,0,0,5.336,0,0,0,0,1.783,1.429,1.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711,0,0,0,0,3.517,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.224,0,0,0,0,3.143,0,1.534,0,0,0,0
HPB:bin_000131,0,13.197,6.291,4.677,3.294,1.902,2.685,0,3.63,0,0,4.508,3.501,1.443,1.568,4.79,0,2.576,0,0,0,1.246,6.443,0,0,0,2.629,3.641,3.835,4.323,0,1.96,0,0,0,0.664,0,0,0,3.091,1.923,2.194,1.992,4.308,2.074,4.255,2.646,3.353,2.539,1.826,1.577,0,1.703,3.808,7.525,3.813,0,1.308,0,0,7.176,0,2.447,2.005,3.702,1.278,1.899,26.692,0.797,0,0,0,0,0,3.372,0,1.047,5.947,1.427,0,0,0,0,0,0,0,0,0,0,3.238,1.84,3.356,4.081,2.883,3.793,7.159,3.656,4.601,2.625,6.924,1.711,3.397
HPB:bin_000132,0,0,0,0,0,0,3.792,0,6.533,34.423,0,69.606,5.337,0,1.134,0,0,1.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.315,1.258,0,0,1.625,0,0,0,0,0,0,4.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.301,0,3.489,0,0,0,0,0,0,0,37.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.003,0,0
HPB:bin_000137,0,1.562,1.448,0.894,0,0,0.63,0,0,0.764,0,0.996,0.591,0,0,1.325,1.386,0,0,0,0,2.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.518,5.571,0,0,0,0,0,0,0,0.705,0.931,0.711,0,0,0,0,0,0,0,0,3.511,0,1.691,0,9.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.673,0,0,0,0,0,0,0,0
HPB:bin_000138,0,3.46,0,3.415,1.43,0,2.435,0,0,0,0,1.653,86.429,5.606,2.154,13.717,0,4.731,0,0,0,0,0,0,0,0,2.667,9.186,6.391,5.381,0,3.274,0,0,0,0,0,0,0,2.802,3.808,1.549,0,2.606,1.338,4.241,16.385,0,0,7.64,0.787,0,0,1.913,0,0,0.848,0,0,0,0,0,1.219,0,4.333,3.677,1.094,22.739,0,0,0,0,0,0,0,0,0,11.511,4.822,0,0,0,0,0,0,0,0,0,0,1.472,5.579,3.776,2.697,0,4.234,7.073,6.711,57.217,2.233,5.342,1.442,2.224
HPB:bin_000140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965,2.759,0,7.022,0,0.829,0,0,0,0,0,0,0,0,1.388,4.865,2.417,6.235,1.218,0,0.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.308,0,0,0,0,0,0,0,0,0,0,0,0,3.298,1.723,3.403,0.864,2.995,7.957,1.232,2.042,0.927,0,0,0
HPB:bin_000143,0,4.298,4.506,1.753,1.235,1.651,2.103,0,1.229,4.631,0,3.476,4.174,2.04,1.322,2.972,0,8.853,0,0,0,1.513,1.827,0,0,0,3.101,2.319,2.856,13.998,0,2.589,0,0,0,0,0,0,0,2.424,2.734,3.268,1.536,1.56,2.505,2.983,2.2,1.182,0,5.475,1.364,0,1.519,7.959,5.656,4.908,1.464,4.87,0,0,2.689,0,5.378,1.686,2.793,1.039,1.492,14.297,0.867,0,0,0,0,0,2.776,0,0,9.112,0,0,0,0,0,0,0,0,0,0,0,3.956,3.15,4.512,3.077,2.933,4.005,9.027,2.718,7.792,2.715,5.374,2.631,4.235
HPB:bin_000144,0,14.201,23.083,1.852,17.387,4.626,19.849,0,5.173,0,0,3.743,4.158,7.407,35.324,6.679,0,14.808,0,0,0,0,3.506,0,0,0,11.747,28.045,49.869,18.894,0,18.407,0,0,0,0,0,0,0,24.19,4.777,8.801,17.753,3.379,50.551,6.793,19.092,6.433,12.177,15.742,6.79,0,1.916,15.172,11.591,20.012,0,0,0,0,0,0,0,0.906,5.191,10.501,22.019,2.043,0,0,0,0,0,0,2.565,0,0,5.273,8.074,0,0,0,0,0,0,0,0,0,0,27.038,21.634,6.394,35.783,18.915,38.816,39.338,25.04,7,13.554,27.616,8.766,23.125
HPB:bin_000146,0,0,0,0,0,2.134,10.224,0,1.127,2.36,0,3.047,3.177,0,0.869,2.237,0,0,0,0,0,2.938,0,0,0,0,3.461,1.931,3.208,0,0,0,0,0,0,0,0,0,0,2.34,0,0,4.642,7.274,0,0,0,0,0,0,1.097,0,0,0,0,0,0,1.283,0,0,0,0,0,2.039,1.321,1.113,1.049,0,0,0,0,0,2.473,0,1.585,0,0,0,1.163,0,0,0,0,0,0,0,0,0,0,1.231,0,3.311,3.598,0,3.52,7.796,0,1.378,0,0,1.038,1.239
HPB:bin_000147,0,0,0,0,0,0,0,0,0,26.595,0,39.83,23.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984,2.28,0,0,0,1.752,0,0,0,0,0,0,0,0.924,0,0,0,0,1.111,0.978,0,1.908,0,0,2.447,0,0,0,0,1.605,0,0,0,0,0,0,0,32.884,13.654,0,0,0,0,0,0,0,0,0,4.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778,0,1.012,3.846,0,0,1.448,25.403,7.191,21.392
HPB:bin_000148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.518,36.854,101.751,34.972,0,8.411,0,0,0,0,4.656,0,1.695,85.693,60.387,70.395,19.3,57.21,94.593,91.107,63.338,35.138,7.021,20.037,14.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.683,39.838,0,0,1.395,0,0,0,0,0,0,0.76,86.531,46.786,79.187,215.524,143.666,45.711,39.578,32.742,12.094,3.707,7.511,6.654,25.713
HPB:bin_000149,0,3.895,0,0,0,0,0,5.006,1.221,0,0,3.121,0,0,0,0,0,0,0,0,0,24.704,1.665,0,0,0,0,0,0,2.119,0,0,0,0,0.876,0,0,0,1.015,0,0,0,0,2.032,0,0,1.247,0,0,0,0,0,0,4.084,2.66,0,0,5.116,0,0,3.717,1.226,7.523,0,0,0,0,14.076,0,0,0,0,0,0,2.265,3.433,15.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.768,1.825,0,0,1.661,0,0,0,0
HPB:bin_000151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.965,0,1.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.658,0.79,1.306
HPB:bin_000152,0,2.927,3.31,1.818,0.793,1.392,0,0,1.023,0,0,3.237,5.619,1.914,1.743,1.569,0,0,0,0,0,0,0,0,0,0,6.151,1.627,1.989,0,0,0,0,0,0,0,0,0,1.387,2.699,5.166,6.924,0.694,0,1.462,1.1,0,1.574,0,0,0,0,2.399,1.73,0,1.342,0,5.614,0,0.597,1.352,0,0,0,4.346,0,0,2.625,0,0,0,0,0,0,1.742,0,0,32.457,1.442,0,0,0,0,0,0,0,0,0,3.059,0,1.076,3.257,5.12,1.986,0,0,0,0,1.076,0.675,0,0
HPB:bin_000153,0,3.498,0,1.271,0,0,0,0,2.094,1.253,0,2.803,1.684,0.941,1.028,1.548,0,1.447,0,0,0,0,0,0,0,0,2.04,2.187,2.683,2.841,0,1.472,0,0,0,0,0,0,0,1.728,1.64,1.075,1.735,2.388,0,2.571,2.204,1.875,1.974,1.937,1.621,0,0,1.792,1.881,0,0,0,0,0,0,0,1.27,1.104,3.1,1.23,1.158,0,0,0,0,0,0,0,1.992,0,0,4.308,1.459,0,0,0,0,0,0,0,0,0,0,0,1.892,2.962,3,0,2.389,3.796,1.6,3.162,1.932,6.063,2.35,2.135
HPB:bin_000154,0,0,0,0,0,0,0,0,0,0,0,6.718,1.05,0,0.658,0,0,2.493,0,0,0,0,1.21,0,0,0,1.362,0,1.096,1.555,0,0,0,0,0,0,0,0,0,0,1.373,0.817,0,0,0,1.642,0,0.9,0,1.14,0.881,0,0,0,0.883,1.385,0,0,0,0,0,0,0,0,1.506,0.854,0.785,1.796,0,0,0,0,0,0,0.889,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0.961,0,0.966,4.66,0,1.785,2.36,1.259,1.037,1.067,4.628,1.131,2.257
HPB:bin_000155,0,39.615,15.08,1.197,1.23,11.164,23.488,0,3.126,0,0,3.913,0,0,0,1.362,0,0,0,0,0,0,9.874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.951,13.99,20.587,11.613,1.726,2.818,0,0,42.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.428,0,0,0,0,0
HPB:bin_000157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.352,12.937,2.644,1.246,3.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55,2.305,3.587,12.139
HPB:bin_000158,0,48.727,9.706,24.797,20.012,39.403,7.574,0,9.91,1.336,0,8.734,7.203,3.346,8.162,22.874,1.016,6.834,0,0,0,27.248,9.559,0,0,0,25.575,12.379,12.735,15.338,0,3.028,0,0,0,11.364,0,0,1.225,11.505,25.876,5.883,6.058,17.169,6.546,15.69,6.044,4.601,2.142,4.944,4.062,0,24.836,44.253,30.792,6.693,12.852,5.155,0,0,26.228,2.187,16.3,4.793,11.654,3.015,4.378,23.29,2.004,0,0,0,2.129,0,4.523,0,1.561,17.718,3.952,0,0,0,0,0,0,0,0,0,0,10.369,9.665,39.796,8.178,2.827,6.578,24.318,7.896,9.108,6.083,16.306,5.087,6.331
HPB:bin_000159,0,0,0,1.09,0,0,0,1.534,3.861,7.479,0,34.37,0,2.782,5.12,0,1.616,5.455,0,0,0,82.629,0,0,0,0,22.994,11.154,4.623,0,0,2.687,0,0,0,0,0,0,0,1.47,0,0,3.169,3.056,0,2.048,2.186,1.166,0,1.936,0,0,1.308,0,1.84,0,1.219,0,0,1.667,0,0,0,0,20.478,6.244,2.287,0,0,0,0,0,0,0,3.149,0,0,0,0.935,0,0,0,0,0,0,0,0,0,0.604,11.776,0,7.765,1.494,0,0,8.552,1.489,9.72,0,0,1.192,1.459
HPB:bin_000160,0,8.19,5.15,4.067,6.855,4.852,5.506,0,4.556,2.35,0,2.822,3.342,2.514,4.222,4.616,0,9.386,0,0,0,2.986,3.443,0,0,0,3.871,5.075,7.616,8.065,0,2.981,0,0,0,0,0,0,1.05,3.598,5.939,4.284,3.035,8.388,2.38,5.139,3.745,2.917,1.331,3.248,2.975,0,4.507,5.154,8.01,7.412,1.885,2.528,0,0,8.407,0,5.446,4.502,3.189,5.26,5.519,5.458,1.397,0,0,0,0,0,2.63,0,2.705,11.332,3.144,0,0,0,0,0,0,0,0,0,0,4.997,4.052,9.869,6.615,2.58,3.761,12.947,3.406,7.909,2.079,5.214,2.52,3.129
HPB:bin_000161,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,3.897,0,0,0.959,0,0,0,0,0,0,0,0,1.962,7.489,1.455,2.826,0,1.257,0,0,0,0,0,0,0,0,4.938,0,0,0,0,0,2.069,0,0,0,0.721,0,0,0,0,0,0,0,0,0,0,0,0,0,2.648,1.455,0,0,0,0,0,0,0,0,1.379,0,0,1.469,0,0,0,0,0,0,0,0,0,0,0,1.412,3.523,2.17,11.729,0,2.607,0,2.695,3.686,0,0,0,0
HPB:bin_000162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95,0,0.652,0,0,0,0,0,0,0,0,0,36.304,0,0.913,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,5.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.436,0,1.868,0,0,0,0,0,0,0,0,0,0,0,0.981,0,0,0,0,0,0,0,0,0,0,0,0,0,8.991,0,0,0,0,0,0,7.388,0,0.861
HPB:bin_000164,0,18.682,8.53,8.797,3.437,4.38,0.946,0,0.911,0,0,0,0,0,1.32,11.472,0,0,0,0,0,0,2.4,0,0,0,0,0,1.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.078,8.329,4.245,5.731,0,0,0,0,1.808,0,0,0,0,0,0,12.539,0,0,0,0,0,0,0,0,0.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.466,0,0,0,5.051,0,0,0,0,0,0
HPB:bin_000165,0,0,0,2.957,4.974,3.447,3.851,0,8.373,0,0,1.826,3.821,1.582,1.064,1.847,0,2.667,0,0,0,0,0,0,0,0,2.869,11.325,21.803,4.649,0,11.991,0,0,0,0,0,0,0,12.016,13.049,0,0,2.897,3.665,9.691,8.869,2.625,0,4.148,2.816,0,0,0,0,4.113,0.763,0,0,0,0,0,0,1.138,1.515,1.062,0,0,0,0,0,0,0,0,2.47,0,0,14.7,4.151,0,0,0,0,0,0,0,0,0,0,6.466,0,4.882,16.153,0,1.74,3.593,6.11,4.768,1.227,9.437,1.379,2.646
HPB:bin_000166,0,0,0,0,0,0,0,0,0,0,0,39.755,0,3.57,0,0,0,0,0,0,0,0,0,0,0,2.727,0,5.862,0,0,0,3.202,0,0.702,0,4.569,3.071,0,0.708,0,0,0,2.443,0,7.749,0,0,0,0,2.042,1.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.184,7.317,0,0,0,0,0,0,0,1.773,0,2.047,1.91,0.956,1.641
HPB:bin_000167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.813,15.094,20.833,12.482,0,7.247,0,0,0,5.523,3.344,0,1.094,10.851,4.933,7.484,3.756,2.208,6.76,8.577,11.938,5.827,3.417,6.158,5.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.031,9.902,0,0,0,0,0,0,0,0,0,0.977,8.056,2.373,8.753,6.794,11.365,10.465,26.73,8.423,4.927,11.81,17.873,6.158,16.912
HPB:bin_000169,0,0,2.587,0,0,0,1.66,0,0,0,0,2.171,2.91,0,0,1.765,0,0,0,0,0,0,0,0,0,0,0,1.675,0,0,0,0.917,0,0,0,0,0,0,0,0.992,0,0,0,0,1.631,1.242,1.655,0,0,0,0,0,1.451,0,1.366,4.917,0,0,0,0,0,0,0,0.919,2.471,0.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.081,0,0,1.663,1.252,1.888,0,1.698,0,0
HPB:bin_000171,0,0,0,0,0,0,0,0,0,0,0,10.299,11.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.039,0,0,0,4.065,0,0,0,0,0,0,0,0,0,0,6.682,0,0,3.828,0,1.205,0,5.773,1.998,0,0,0,0,6.103,0,0,0,0,0,0,0,5.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.051,0,0,0,0,0,1.3,5.899,4.703,2.891
HPB:bin_000172,0,0,0,0,164.315,106.766,42.604,3.694,145.31,22.922,0.649,2.621,3.827,5.031,0,0,16.076,99.518,0,0,0,60.966,17.401,1.323,0,1.349,0,0,0,166.309,0,73.045,0,0.8,2.392,43.213,5.164,0,35.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.31,87.229,22.328,76.094,0,3.878,156.119,11.082,3.228,6.747,0,0,0,126.338,45.748,0,0,0,21.342,4.872,58.628,8.113,80.28,0,0,0,0,3.651,0,0,0,0,0,4.472,21.642,0,0,0,0,0,0,0,0,0,0,0,0,0
HPB:bin_000176,0,0,0,0,25.258,15.397,10.902,4.489,32.588,6.226,0,1.39,2.319,2.049,0,0,3.747,7.011,0,0,0,7.627,11.244,0.814,0,1.323,0,0,0,30.628,0,4.268,0,0,1.087,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.321,7.92,3.266,21.478,0,1.165,40.983,0.836,2.833,2.078,0,0,0,15.677,4.501,0,0,0,14.979,1.203,6.687,0.805,39.135,0,0,0,0,0.904,0,0,0,0,0,0.804,0.606,0,0,0,0,0,0,0,0,0,0,0,0,0
HPB:bin_000177,0,0,0,0,0,0,0,0,0,4.159,0,24.942,27.482,9.593,0,0,0,0,0,0,0,165.582,18.251,0,0,0.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.743,17.372,0,22.396,12.3,0,0,0,0,0,0,0,0,15.639,1.571,44.4,11.42,91.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPB:bin_000178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.766,7.125,10.305,0,0,4.637,0,0,0,0,0,0,0,5.495,0,0,0,0,3.836,1.708,0,0.816,1.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.462,0,0,0,0,0,0,0,0,0,0,0,0,2.782,13.203,0,23.925,0,1.679,0.868,3.124,5.572,3.823,8.413
HPB:bin_000179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.602,0,0,0,0,0,0,0,0,0,0.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.324,0,0.674,1.473,0,0,0,0
HPB:bin_000180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945,0,0,0,0,0,0,0,0,26.781,33.583,37.3,0,0,5.479,0,0,0,0,0,0,0,0,31.473,0,0,0,0,0,64.347,0,0,0,0.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.074,0,0,0,0,0,0,0,0,0,0,0,0,5.786,20.377,0,62.675,0,2.977,0,6.099,59.206,0,6.477
HPB:bin_000181,0,0,0,0,3.69,0,1.553,0,0,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646,0.971,0,0,2.268,0,0,0,0,0,0,0,0,1.675,0,0,0,0,0,4.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947,1.65,0,1.81
HPB:bin_000183,0,1.949,7.123,0,0,0,1.483,0,0,0,0,0,0,0,0,2.499,0,0,0,0,0,0,0,0,0,0,0,0,0,27.926,0,0.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796,0,0,0,0,0,0,0,1.608,0,0,0.868,5.349,0,0,0,0,0,0,0,7.639,0.761,4.63,0,0,0,0,0,0,0,0,0,2.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.215,0,5.014,9.409
HPB:bin_000184,0,1.708,7.374,0,0,2.202,2.83,0,0,0,0,3.196,3.678,0,3.685,7.217,0,0.984,0,0,0,0,2.825,0,0,0,2.85,0.986,4.306,5.147,0,1.488,0,0,0,0,0,0,0,3.649,1.043,2.24,2.249,11.184,2.092,8.038,2.964,4.303,0,1.32,3.118,0,0.907,0,0,6.434,0,0.978,0,0,1.956,0,4.715,1.536,3.228,1.608,0,5.279,0,0,0,0,0,0,0.817,0,0,2.223,1.62,0,0,0,0,0,0,0,0,0,0,1.094,1.04,3.168,7.403,1.212,4.252,37.796,6.424,5.79,2.955,1.202,1.377,2.044
HPB:bin_000185,0,0,2.031,0,0,0,0,0,0,0,0,0,1.185,0,1.418,3.133,0,0.925,0,0,0,0,0,0,0,0,0,0.841,1.717,0.891,0,0,0,0,0,0,0,0,0,0.826,0,0,0,0,1.063,0,0,0,0,0,0,0,0,1.289,0,1.932,0,0,0,0,0,0,0,0,1.234,0,1.471,1.093,0,0,0,0,0,0,0,0,0,1.222,0,0,0,0,0,0,0,0,0,0,0,0.758,0,0,0.815,0.737,0,1.366,0,0.944,0,0,0,1.198
HPB:bin_000186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.148,0,0,2.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547,0,0,0,0,0,0,0,0,0,0,0,0,0.923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.838,0,0,0,0,0,4.439,1.065
HPB:bin_000187,0,0,0,0,0,0,12.173,0,1.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPB:bin_000188,0,0,7.924,0,0,3.049,0,0,0,0,0,0,0,1.859,4.015,0,0,1.714,0,0,0,0,0,0,0,0,2.321,6.32,15.431,0,0,1.583,0,0,0,0,0,0,0,7.768,9.733,16.123,3.092,0,14.533,5.277,6.083,2.359,1.032,0,1.296,0,1.737,1.101,0,3.591,0,0,0,0,0,0,0,0,0,0.839,1.395,1.693,0,0,0,0,0,0,0,0,0,8.031,10.877,0,0,0,0,0,0,0,0,0,0,0,2.202,4.752,10.424,2.846,3.958,0,0,1.828,1.668,19.497,9.051,4.698
HPB:bin_000189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.584,0,0,0,0,3.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.839,1.899
