genome,M305768,M305846,M305884,M305789,M305757,M305781,M305779,M305792,M305890,M305889,M305788,M305854,M305880,M305881,M305794,M305793,M305764,M305774,M305893,M305761,M305847,M305762,M305877,M305859,M305848,M305875,M305853,M305791,M305778,M305796,M305773,M305758,M305753,M305771,M305754,M305878,M305755,M305887,M305752,M305770,M305790,M305782,M305888,M305772,M305861,M305850,M305767,M305750,M305786,M305867,M305870,M305857,M305864,M305756,M305883,M305869,M305769,M305784,M305852,M305876,M305892,M305787,M305849,M305871,M305856,M305855,M305759,M305783,M305873,M305858,M305885,M305765,M305775,M305795,M305760,M305891,M305777,M305874,M305862,M305868,M305882,M305863,M305866,M305780
IKPB:bin_000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.202,0,0,0,0,0
IKPB:bin_000044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IKPB:bin_000045,0,0,0,0,0,0,0,0,0,0,3.054,0,0,0,0,0,0,0,3.241,0,0,2.516,0,1.757,0,0,0,6.102,0,0,0,4.241,0,0,1.475,0,3.645,0,2.84,0,2.515,0,0,1.742,0,3.271,0,0,6.096,0,1.868,0,0,2.309,0,1.728,0,4.682,0,0,1.999,0,0,0,2.781,0,0,0,0,0,0,0,9.206,0,0,1.703,0,0,1.62,0,0,0,0,0
IKPB:bin_000046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.828,0,0,1.876,0,0,0,0,0,0,0,0,0,0,0,0,0,2.304,0,1.57,0,1.997,0
IKPB:bin_000047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IKPB:bin_000048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IKPB:bin_000049,0,0,0,0,0,2.321,0,0,0,0,3.297,0,0,0,0,0,0,2.797,2.405,0,0,0,0,0,0,0,0,0,0,0,1.809,3.533,0,0,0,1.632,0,0,2.091,1.75,3.142,3.237,0,0,0,0,0,0,4.429,0,2.165,0,0,0,0,1.268,0,0,0,2.021,0,0,1.416,0,2.317,0,0,0,0,0,0,0,3.63,0,0,1.316,0,0,2.564,0,1.303,0,0,0
IKPB:bin_000050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IKPB:bin_000051,0,0,0,0,0,3.604,0,0,0,0,4.94,0,0,1.685,0,0,0,5.31,3.04,5.072,0,0,0,0,0,0,2.39,0,0,0,2.064,5.478,0,0,0,0,0,0,3.593,2.194,3.383,3.643,0,0,0,1.797,0,0,5.551,0,1.541,0,0,2.853,0,1.612,2.46,0,0,2.253,1.716,0,1.976,1.623,0,0,2.547,0,0,1.484,0,0,8.93,0,0,1.91,0,0,3.994,0,1.677,0,1.379,0
IKPB:bin_000052,0,2.801,3.04,7.131,0,2.397,0,0,0,4.054,13.903,1.263,1.19,11.935,1.865,0,0,22.154,5.868,0,0,2.721,3.12,0,0,0,2.639,3.925,3.212,0,2.36,4.493,0,3.016,0,4.314,2.665,0,5.096,3.941,9.753,8.369,3.202,0,0,2.836,4.932,0,3.331,0,10.351,0,0,5.472,0,2.527,10.102,0,0,8.826,0,0,2.508,3.216,0,2.693,10.321,0,12.555,2.841,0,0,9.599,0,0,2.874,0,1.511,3.849,0,14.056,0,3.389,0
