genome,M305503,M305392,M305364,M305409,M305461,M305387,M305497,M305393,M305401,M305491,M305495,M305478,M305391,M305395,M305500,M305492,M305460,M305498,M305485,M305501,M305462,M305370,M305399,M305373,M305380,M305494,M305480,M305465,M305468,M305476,M305467,M305479,M305394,M305369,M305504,M305473,M305371,M305463,M305482,M305389,M305402,M305368,M305405,M305388,M305471,M305472,M305367,M305483,M305383,M305408,M305378,M305375,M305486,M305379,M305386,M305466,M305484,M305403,M305372,M305400,M305382,M305365,M305499,M305377,M305398,M305470,M305397,M305496,M305488,M305475,M305490,M305381,M305507,M305406,M305410,M305407,M305404,M305469,M305374,M305384,M305506,M305489,M305505,M305477
MPB:bin_000069,2.242,7.566,5.747,13.397,0,2.992,6.595,12.959,22.909,8.941,6.607,5.433,5.868,2.137,4.042,20.014,7.846,10.317,0,26.841,30.336,10.972,11.912,0,0,10.575,22.877,21.294,7.605,13.264,20.8,12.995,14.369,10.991,0,25.199,2.044,6.048,0,2.664,0,9.748,5.119,2.87,26.497,12.238,0,27.248,13.266,4.898,9.811,22.383,3.964,18.288,0,13.708,9.077,0,5.512,14.106,0,6.711,5.964,8.063,2.097,26.23,3.698,18.455,0,0,10.242,0,24.091,3.064,1.658,2.279,2.229,8.315,9.322,20.898,7.668,9.274,1.704,0
MPB:bin_000070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000073,0,0,0,0,0,0,0,0,1.177,0,0,0,0,0,0,0,0,0,0,1.425,0,0,0,0,0,0,1.324,0,0,0,0,0,0,0,0,1.204,0,0,0,0,0,1.449,0,0,0,0,0,1.769,0,0,0,1.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863,0,0,0,0
MPB:bin_000074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
