genome,M304009,M303986,M303980,M303994,M303974,M304017,M303985,M303973,M304008,M304002,M303993,M303970,M303971,M303979,M304015,M304006,M303983,M303977,M303972,M303999,M303991,M303978,M303989,M303984,M303998,M303976,M303987,M304003,M304016,M304000,M304013,M303996,M303990,M304005,M304011,M303988,M304001,M303997,M304004,M304014,M303982,M304012
D300260:bin_000003,0,0,13.331,17.933,3.474,42.268,7.582,49.435,0,0,3.674,39.178,4.784,15.782,10.96,5.159,26.036,26.39,22.411,20.491,0,13.063,18.291,17.205,8.86,90.085,7.079,2.528,51.95,22.273,53.595,0,42.418,1.973,94.228,3.903,0,44.317,15.211,31.696,3.283,10.635
D300261:bin_000003,0,0,5.443,6.655,0,6.242,2.655,10.257,0,0,0,13.135,2.778,6.243,0,2.37,6.107,9.93,5.114,8.951,0,5.77,4.058,7.911,10.411,23.877,2.193,0,13.156,6.843,14.288,0,10.61,0,7.874,2,0,23.354,4.115,11.898,1.781,2.486
D300262:bin_000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300262:bin_000011,2.59,0,15.997,20.016,2.842,21.529,5.861,31.825,0,0,2.547,24.102,4.453,18.846,6.463,7.238,15.715,16.909,12.301,18.6,0,17.344,10.798,27.623,24.462,59.843,5.94,0,54.439,10.225,46.667,0,17.383,1.922,25.324,6.797,0,64.094,6.47,39.259,2.913,6.697
D300262:bin_000022,0,0,3.434,0,0,0,0,0,0,0,0,4.531,0,0,3.748,0,0,0,0,2.499,0,0,0,0,0,0,0,0,2.63,0,2.828,0,0,0,0,0,0,0,0,0,0,0
D300262:bin_000032,0,0,7.26,7.239,0,5.702,2.057,11.498,0,0,1.772,9.951,2.238,8.557,2.963,2.2,5.435,6.555,4.458,4.351,0,6.244,2.582,7.452,2.34,17.566,0,0,10.103,5.791,18.368,0,3.935,0,7.498,2.176,0,25.613,2.811,7.611,1.861,2.554
D300263:bin_000027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.202,0,0,0,0
D300264:bin_000033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300264:bin_000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300265:bin_000012,0,0,2.054,3.283,0,3.789,0,4.568,0,0,0,5.116,1.897,3.074,0,0,0,0,0,0,0,3.052,0,2.274,0,6.327,0,0,2.53,2.866,6.378,0,0,0,0,0,0,7.767,1.908,2.781,0,0
D300265:bin_000013,3.449,0,19.817,22.292,2.515,27.167,7.254,38.571,0,0,5.479,34.379,10.323,29.717,6.227,8.963,27.469,21.859,16.297,31.117,1.875,27.403,12.114,25.308,15.06,65.964,6.821,6.202,37.104,19.905,52.899,0,29.664,2.8,28.502,6.803,0,76.733,14.774,29.813,8.541,9.377
JPB:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000003,0,0,0,0,0,0,0,2.38,0,0,0,2.229,0,1.981,0,0,0,0,0,0,0,1.77,0,1.799,0,2.391,0,0,0,0,0,0,0,0,0,0,0,3.354,0,0,0,0
JPB:bin_000004,0,0,2.165,0,0,0,0,8.953,0,0,0,0,0,2.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPB:bin_000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
