genome,M303961,M303950,M303938,M303952,M303925,M303933,M303966,M303930,M303935,M303959,M303955,M303964,M303958,M303924,M303946,M303944,M303934,M303931,M303922,M303948,M303960,M303923,M303947,M303957,M303945,M303928,M303937,M303943,M303927,M303969,M303965,M303939,M303942,M303968,M303936,M303954,M303949,M303953,M303967,M303940,M303926,M303963
D300252:bin_000020,3.343,7.571,0,2.439,14.074,0,0,5.272,0,29.155,5.144,3.506,9.741,10.17,0,5.861,0,0,12.754,7.538,0,2.158,0,23.658,8.466,1.933,39.583,0,5.679,3.228,5.107,0,7.01,5.926,0,2.744,0,20.775,7.752,0,12.523,7.091
D300253:bin_000005,9.127,9.614,0,3.964,16.898,0,0,6.332,0,25.97,3.944,2.647,8.257,5.854,0,4.206,0,0,10.218,6.926,2.098,3.319,0,14.194,5.012,6.274,22.309,0,5.086,5.871,9.282,0,9.195,5.862,0,2.778,2.416,18.488,6.742,0,6.456,4.844
D300253:bin_000007,5.932,5.612,0,3.367,2.76,0,0,4.517,0,7.748,0,3.496,2.907,0,0,0,0,0,31.763,14.716,1.346,0,0,2.989,1.852,2.489,9.095,0,3.74,2.002,3.063,0,2.399,2.28,0,0,5.097,8.508,6.819,0,3.411,0
D300253:bin_000040,11.259,12.376,0,4.277,21.11,0,0,6.388,0,22.837,4.736,3.743,14.014,9.094,0,3.935,0,0,14.276,5.567,3.677,5.565,0,15.221,5.574,6.2,24.256,0,6.064,4.169,11.52,0,7.133,3.755,0,3.981,3.639,11.605,4.513,0,12.148,4.509
D300254:bin_000011,7.709,9.001,0,6.494,22.455,0,0,3.765,0,39.263,4.144,4.874,13.51,4.501,0,7.182,0,0,18.423,9.254,5.584,2.121,0,16.194,5.335,3.159,30.807,0,16.915,4.828,6.291,0,13.817,8.333,0,2.684,0,11.911,9.004,0,10.063,10.324
D300254:bin_000016,0,1.593,0,0,3.406,0,0,0,0,2.998,0,0,2.482,0,0,1.178,0,0,2.55,0,1.616,0,0,2.488,0,0,3.836,0,0,0,0,0,1.972,0,0,0,0,2.175,1.473,0,1.756,0
D300254:bin_000019,107.23,76.832,0,57.84,118.348,4.486,11.664,70.977,0,183.637,51.773,56.468,132.359,60.862,1.982,41.663,2.55,3.167,157.572,118.07,25.708,76.504,5.638,151.318,38.332,113.247,300.771,7.706,52.714,37.151,108.181,0,60.219,52.038,0,19.337,68.835,140.589,91.731,0,110.739,38.379
D300254:bin_000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300255:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.021
D300255:bin_000023,22.744,20.623,0,20.316,28.127,1.968,2.761,11.275,0,60.118,18.719,9.193,45.528,12.44,0,9.489,0,0,32.302,24.324,7.963,102.094,3.51,40.908,15.696,32.447,69.846,2.948,19.552,9.202,24.856,3.435,12.6,15.443,0,7.973,10.685,41.549,21.075,0,30.549,25.502
D300256:bin_000008,5.751,3.724,0,6.32,11.201,0,0,2.609,0,21.327,6.035,4.659,5.349,0,0,2.329,0,0,6.325,4.426,5.764,0,0,15.068,3.78,0,15.757,0,24.834,1.712,1.518,0,6.308,7.032,0,3.69,0,8.626,6.174,0,6.632,10.175
D300256:bin_000021,9.994,8.42,0,7.803,17.462,0,0,9.213,0,41.425,7.453,4.162,15.956,4.144,1.463,6.906,0,0,21.391,10.911,25.255,3.444,0,28.474,11.093,4.673,37.264,0,19.738,7.498,3.778,0,23.079,17.967,0,5.969,0,15.793,13.026,0,16.123,15.218
D300256:bin_000037,176.858,19.412,0,563.005,0,0,4.178,0,0,50.073,0,0,97.103,0,0,0,0,0,0,96.404,8.028,0,0,0,0,0,0,0,90.166,0,37.396,0,0,35.102,0,0,0,99.623,1.429,0,50.823,0
D300257:bin_000004,8.713,12.759,0,2.946,8.443,1.401,0,17.385,0,12.6,5.707,32.586,62.892,0,0,0,0,0,21.364,22.707,6.393,8.67,0,6.965,3.913,7.07,63.114,0,2.727,7.424,3.522,0,10.186,4.405,0,0,4.486,4.947,28.723,0,4.352,3.963
D300257:bin_000017,11.885,26.792,0,16.277,9.88,4.241,0,19.802,0,35.66,19.514,4.245,20.775,1.852,0,1.928,0,0,22.479,9.48,3.897,35.553,0,28.519,23.804,3.375,18.182,1.547,24.871,1.642,14.994,0,9.846,7.741,0,0,24.806,34.868,77.107,0,24.655,19.584
