genome,M304733,M304721,M304633,M304642,M304706,M304700,M304631,M304643,M304637,M304732,M304698,M304603,M304724,M304717,M304641,M304736,M304612,M304697,M304699,M304597,M304608,M304723,M304623,M304735,M304731,M304714,M304695,M304640,M304715,M304720,M304621,M304738,M304725,M304606,M304619,M304708,M304607,M304709,M304622,M304615,M304620,M304726,M304718,M304639,M304605,M304710,M304703,M304632,M304602,M304711,M304600,M304625,M304628,M304617,M304716,M304609,M304729,M304613,M304707,M304705,M304604,M304610,M304730,M304727,M304627,M304618,M304712,M304601,M304634,M304737,M304635,M304734,M304701,M304624,M304693,M304694,M304596,M304722,M304696,M304704,M304614,M304638,M304598,M304630
TM4:bin_000248,0,3.976,0,0,3.584,1.446,0,53.197,6.616,1.479,0,24.352,3.533,0,0,1.97,1.591,7.185,0,0,11.276,0,0,0,0,0,2.359,3.115,11.369,0,5.362,0,2.534,0,5.372,0,0,0,1.537,0,4.96,0,2.266,0,7.193,0,0,2.973,0,0,0,3.951,5.21,2.056,10.63,2.776,2.891,0,2.252,0,0,3.452,0,2.75,0,1.17,0,25.935,2.723,1.561,0,0,3.071,0,0,5.943,2.715,0,8.499,0,0,4.705,7.501,2.397
TM4:bin_000249,26.107,26.197,14.496,64.921,32.19,13.65,0,21.74,17.246,23.261,22.129,38.948,29.145,22.398,12.767,17.444,32.903,26.597,28.444,16.621,16.685,12.719,21.907,37.671,0,0.709,15.305,7.514,33.651,24.3,20.586,5.964,4.29,28.101,21.758,25.492,15.413,15.1,5.303,0,7.105,31.982,8.068,9.303,31.358,5.537,0,20.407,12.784,9.368,4.482,16.56,25.884,31.535,6.509,16.738,26.142,1.264,53.413,7.645,0,16.633,27.772,13.887,23.973,4.045,10.283,29.614,13.27,21.572,24.199,2.113,18.856,10.132,6.026,8.447,28.55,22.951,32.671,0,0,60.12,15.322,16.275
TM4:bin_000259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM4:bin_000261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM4:bin_000267,4.744,5.366,2.812,2.412,8.504,6.51,0,16.86,0,24.561,0,0,2.239,1.899,0,0,2.874,22.089,1.513,4.212,1.506,2.805,10.671,3.126,0,0,7.781,1.554,36.737,6.14,0,0,9.983,9.887,4.059,0,3.609,3.785,0,0,10.517,0,14.305,0,5.129,3.429,0,4.788,3.331,2.977,0,4.201,24.153,10.052,11.955,6.547,23.834,0,2.573,0,0,14.636,19.78,11.158,0,12.102,0,15.078,4.287,9.18,1.581,5.227,5.09,2.851,2.736,0,10.272,0,16.126,0,0,79.653,0,4.407
TM4:bin_000275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM4:bin_000278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM4:bin_000285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM4:bin_000286,3.366,2.955,2.138,2.431,2.552,2.66,0,2.133,0,2.414,2.499,1.842,2.666,2.26,0,1.986,0,3.73,1.868,0,1.836,0,0,0,0,0,2.751,0,3.171,2.007,1.576,1.656,2.11,0,4.585,0,1.776,1.88,0,0,1.732,0,0,1.619,1.579,2.469,0,3.78,0,0,0,0,0,1.817,1.323,0,1.892,0,2.722,2.77,0,0,1.995,2.17,1.321,0,1.272,3.846,0,2.133,0,0,2.212,1.574,1.98,1.821,3.812,1.29,2.708,0,0,4.776,1.91,0
TM4:bin_000287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM4:bin_000305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM4:bin_000312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM4:bin_000316,24.756,40.378,27.362,23.645,33.501,24.165,3.464,22.808,32.403,23.271,14.332,9.356,19.619,26.419,13.595,15.262,13.737,41.221,18.881,9.696,22.995,17.412,11.423,11.285,0,1.481,29.913,13.274,31.767,25.323,14.119,11.189,11.702,9.603,39.805,6.388,33.809,12.802,14.155,0,26.768,6.89,13.995,21.069,39.89,6.46,0,23.224,7.584,10.868,3.41,21.156,28.013,19.855,17.871,14.633,18.354,7.195,28.559,9.838,0,38.467,29.005,23.786,8.573,7.45,11.025,28.259,21.795,18.987,16.745,7.229,27.288,18.822,15.377,14.246,39.98,21.971,25.717,0,0,43.86,20.078,29.591
